date,open,high,low,close,volume
2025-08-14,322.4100036621094,324.45001220703125,310.0799865722656,322.0799865722656,1334500
2025-08-15,321.989990234375,332.239990234375,315.80999755859375,329.79998779296875,866700
2025-08-18,328.239990234375,331.760009765625,323.4200134277344,327.1199951171875,1225800
2025-08-19,288.75,297.1099853515625,282.0,285.2300109863281,2106200
2025-08-20,286.4700012207031,288.8800048828125,274.4100036621094,280.3299865722656,885800
2025-08-21,279.5799865722656,281.1099853515625,272.489990234375,277.0400085449219,680100
2025-08-22,277.7099914550781,295.6099853515625,275.2200012207031,294.3500061035156,1291300
2025-08-25,303.3800048828125,313.8999938964844,303.1000061035156,312.2799987792969,888600
2025-08-26,312.0299987792969,331.69000244140625,309.9100036621094,330.6600036621094,1166800
2025-08-27,328.0,336.5,328.0,332.3399963378906,982900
2025-08-28,335.4100036621094,360.0,334.3299865722656,355.04998779296875,1258500
2025-08-29,350.2200012207031,352.5,327.67999267578125,331.2900085449219,1004400
2025-09-02,317.5,335.7099914550781,313.0,335.70001220703125,737100
2025-09-03,337.55999755859375,339.1600036621094,333.05999755859375,337.5299987792969,498400
2025-09-04,347.9700012207031,362.4800109863281,342.44000244140625,362.1600036621094,772500
2025-09-05,368.2300109863281,377.55999755859375,362.3599853515625,370.0299987792969,914700
2025-09-08,374.5,378.1700134277344,364.7300109863281,370.6700134277344,619600
2025-09-09,370.7799987792969,372.9599914550781,365.6000061035156,369.0899963378906,428800
2025-09-10,378.9200134277344,380.010009765625,363.6400146484375,372.57000732421875,742200
2025-09-11,374.3800048828125,376.239990234375,361.8999938964844,362.1600036621094,685800
2025-09-12,361.20001220703125,366.9200134277344,356.20001220703125,358.0,857600
2025-09-15,359.1199951171875,368.25,357.0799865722656,359.0,566100
2025-09-16,358.70001220703125,366.9700012207031,354.4700012207031,355.5299987792969,924700
2025-09-17,355.6000061035156,361.4200134277344,348.010009765625,358.2099914550781,539600
2025-09-18,367.07000732421875,381.6600036621094,362.0,378.010009765625,706500
2025-09-19,376.760009765625,384.4800109863281,370.20001220703125,383.1300048828125,988100
2025-09-22,383.1300048828125,391.1199951171875,381.32000732421875,389.4700012207031,394900
2025-09-23,393.2799987792969,397.260009765625,379.5299987792969,380.2099914550781,511300
2025-09-24,381.6199951171875,386.4700012207031,365.0,366.6600036621094,566100
2025-09-25,357.8900146484375,365.07000732421875,354.4100036621094,360.95001220703125,555800
2025-09-26,362.1700134277344,363.1199951171875,354.7900085449219,358.8999938964844,293800
2025-09-29,364.8699951171875,366.7900085449219,360.2200012207031,363.80999755859375,302200
2025-09-30,365.70001220703125,369.1300048828125,355.5,364.6199951171875,472300
2025-10-01,360.0,374.3399963378906,358.55999755859375,371.32000732421875,376200
2025-10-02,378.9100036621094,379.4599914550781,366.3699951171875,369.55999755859375,328000
2025-10-03,371.9100036621094,376.9100036621094,360.4200134277344,366.0,380000
2025-10-06,373.6199951171875,380.3800048828125,362.8999938964844,370.2900085449219,483500
2025-10-07,370.9599914550781,372.2300109863281,358.2799987792969,370.1700134277344,378700
2025-10-08,371.3599853515625,383.7900085449219,369.67999267578125,383.42999267578125,275000
2025-10-09,380.67999267578125,383.760009765625,372.79998779296875,382.239990234375,346000
2025-10-10,384.7200012207031,384.7200012207031,361.19000244140625,361.94000244140625,602100
2025-10-13,381.55999755859375,383.7699890136719,370.5799865722656,382.6000061035156,409900
2025-10-14,371.0,379.92999267578125,366.489990234375,375.239990234375,256300
2025-10-15,384.5799865722656,399.0,382.19000244140625,398.3399963378906,475700
2025-10-16,412.0299987792969,432.0,409.1700134277344,412.4599914550781,896200
2025-10-17,410.9700012207031,421.5799865722656,402.3500061035156,409.8999938964844,477700
2025-10-20,415.0,418.4800109863281,406.8800048828125,407.54998779296875,451500
2025-10-21,410.0,417.489990234375,404.5199890136719,415.9800109863281,464800
2025-10-22,406.7799987792969,421.2099914550781,386.04998779296875,400.239990234375,674500
2025-10-23,403.4800109863281,420.4800109863281,403.4800109863281,414.989990234375,359500
